months,Contact Rate,Infected,Infection Rate,Infectivity,Population,Recovered,Recovery Rate,Recovery Time,Susceptible
3.3,100,685.26267657,0.0511314465342,0.2,2500,315.727996451,228.42089219,3,0.00932697932531
3.4,100,662.425700495,0.0223308190744,0.2,2500,338.57008567,220.808566832,3,0.00421383467189
3.5,100,640.347076894,0.0101469539421,0.2,2500,360.650942353,213.449025631,3,0.00198075276445
3.6,100,619.003189026,0.00478394074368,0.2,2500,381.995844916,206.334396342,3,0.000966057370238
3.7,100,598.370227786,0.00233442557946,0.2,2500,402.62928455,199.456742595,3,0.00048766329587
3.8,100,578.424786969,0.00117638060941,0.2,2500,422.57495881,192.808262323,3,0.000254220737924
3.9,100,559.144078375,0.000610955160347,0.2,2500,441.855785042,186.381359458,3,0.000136582676982
4,100,540.506003525,0.000326410109451,0.2,2500,460.493920988,180.168667842,3,0.0000754871609478
4.1,100,522.489169382,0.000179093194609,0.2,2500,478.510787772,174.163056461,3,0.0000428461500027
4.2,100,505.072881645,0.000100759334887,0.2,2500,495.927093418,168.357627215,3,0.0000249368305418
4.3,100,488.237128999,0.0000580451336927,0.2,2500,512.76285614,162.745709666,3,0.0000148608970532
4.4,100,471.962563837,0.0000341941925003,0.2,2500,529.037427106,157.320854612,3,0.00000905638368388
4.5,100,456.230481795,0.0000205740399962,0.2,2500,544.769512568,152.076827265,3,0.00000563696443385
4.6,100,441.022801126,0.0000126293421561,0.2,2500,559.977195294,147.007600375,3,0.00000357956043424
4.7,100,426.322042352,0.00000790103056713,0.2,2500,574.677955332,142.107347451,3,0.00000231662621863
4.8,100,412.111308397,0.00000503277966044,0.2,2500,588.888690077,137.370436132,3,0.00000152652316192
4.9,100,398.374265287,0.00000326107642491,0.2,2500,602.62573369,132.791421762,3,0.00000102324519587
5,100,385.095123437,0.00000214771417737,0.2,2500,615.904875866,128.365041146,3,6.97137553381e-7
5.1,100,372.258619537,0.00000143651961413,0.2,2500,628.741379981,124.086206512,3,4.82366135644e-7
5.2,100,359.849999029,9.75090362146e-7,0.2,2500,641.150000632,119.949999676,3,3.38714174231e-7
5.3,100,347.854999159,6.71235304655e-7,0.2,2500,653.1450006,115.951666386,3,2.41205138017e-7
5.4,100,336.259832588,4.68293217693e-7,0.2,2500,664.740167238,112.086610863,3,1.74081607551e-7
5.5,100,325.051171548,3.30908036604e-7,0.2,2500,675.948828325,108.350390516,3,1.27252285782e-7
5.6,100,314.21613253,2.36696453963e-7,0.2,2500,686.783867376,104.738710843,3,9.41614821212e-8
5.7,100,303.742261469,1.71290799215e-7,0.2,2500,697.25773846,101.24742049,3,7.04918367249e-8
5.8,100,293.617519437,1.25345922263e-7,0.2,2500,707.382480509,97.8725064791,3,5.33627568034e-8
5.9,100,283.830268802,9.27061514126e-8,0.2,2500,717.169731157,94.6100896006,3,4.0828164577e-8
6,100,274.369259851,6.92673718512e-8,0.2,2500,726.630740117,91.4564199503,3,3.15575494358e-8
6.1,100,265.223617863,5.22613850881e-8,0.2,2500,735.776382112,88.407872621,3,2.46308122506e-8
6.2,100,256.382830606,3.98002014473e-8,0.2,2500,744.617169375,85.4609435353,3,1.94046737418e-8
6.3,100,247.836736256,3.05823664431e-8,0.2,2500,753.163263728,82.6122454188,3,1.54246535971e-8
6.4,100,239.575511718,2.37015253566e-8,0.2,2500,761.42448827,79.8585039059,3,1.23664169528e-8
6.5,100,231.589661329,1.85202519274e-8,0.2,2500,769.410338661,77.1965537765,3,9.99626441712e-9
6.6,100,223.870005954,1.45860070692e-8,0.2,2500,777.129994038,74.6233353179,3,8.14423922438e-9
6.7,100,216.407672423,1.15745877618e-8,0.2,2500,784.59232757,72.1358908078,3,6.68563851746e-9
6.8,100,209.194083344,9.25169994829e-9,0.2,2500,791.805916651,69.7313611146,3,5.52817974128e-9
6.9,100,202.220947233,7.44659992841e-9,0.2,2500,798.779052762,67.4069824111,3,4.60300974645e-9
7,100,195.480248993,6.0338493643e-9,0.2,2500,805.519751003,65.1600829976,3,3.85834975361e-9
7.1,100,188.964240694,4.9205756413e-9,0.2,2500,812.035759303,62.9880802312,3,3.25496481718e-9
7.2,100,182.665432671,4.03750119047e-9,0.2,2500,818.334567326,60.888477557,3,2.76290725305e-9
7.3,100,176.576584916,3.33257528002e-9,0.2,2500,824.423415082,58.8588616386,3,2.359157134e-9
7.4,100,170.690698752,2.7664177548e-9,0.2,2500,830.309301246,56.8968995841,3,2.025899606e-9
7.5,100,165.001008794,2.30903445342e-9,0.2,2500,835.998991204,55.0003362647,3,1.74925783052e-9
7.6,100,159.500975168,1.93743204069e-9,0.2,2500,841.499024831,53.1669917226,3,1.51835438518e-9
7.7,100,154.184275996,1.63387372748e-9,0.2,2500,846.815724003,51.3947586653,3,1.32461118111e-9
7.8,100,149.044800129,1.38459496338e-9,0.2,2500,851.955199869,49.6816000431,3,1.16122380836e-9
7.9,100,144.076640125,1.17885156573e-9,0.2,2500,856.923359874,48.0255467084,3,1.02276431202e-9
8,100,139.274085455,1.00820973458e-9,0.2,2500,861.725914545,46.4246951515,3,9.04879155451e-10
8.1,100,134.631615939,8.66013218809e-10,0.2,2500,866.36838406,44.8772053132,3,8.04058181993e-10
8.2,100,130.143895408,7.46981044499e-10,0.2,2500,870.856104591,43.3812984694,3,7.17456860112e-10
8.3,100,125.805765561,6.46902058619e-10,0.2,2500,875.194234438,41.9352551871,3,6.42758755662e-10
8.4,100,121.612240043,5.62401689916e-10,0.2,2500,879.387759957,40.5374133476,3,5.780685498e-10
8.5,100,117.558498708,4.90762888249e-10,0.2,2500,883.441501291,39.186166236,3,5.21828380809e-10
8.6,100,113.639882084,4.29787935906e-10,0.2,2500,887.360117915,37.8799606948,3,4.72752091984e-10
8.7,100,109.851886015,3.77691259099e-10,0.2,2500,891.148113985,36.6172953383,3,4.29773298393e-10
8.8,100,106.190156481,3.33015875339e-10,0.2,2500,894.809843518,35.3967188271,3,3.92004172483e-10
8.9,100,102.650484599,2.94567953375e-10,0.2,2500,898.349515401,34.2168281995,3,3.5870258495e-10
9,100,99.2288017786,2.61365321551e-10,0.2,2500,901.771198221,33.0762672595,3,3.29245789612e-10
9.1,100,95.9211750527,2.32596769157e-10,0.2,2500,905.078824947,31.9737250176,3,3.03109257457e-10
9.2,100,92.723802551,2.07589738001e-10,0.2,2500,908.276197449,30.9079341837,3,2.79849580541e-10
9.3,100,89.6330091326,1.85784565762e-10,0.2,2500,911.366990867,29.8776697109,3,2.59090606741e-10
9.4,100,86.6452421616,1.66713867951e-10,0.2,2500,914.354757838,28.8817473872,3,2.40512150165e-10
9.5,100,83.7570674229,1.49985967277e-10,0.2,2500,917.242932577,27.9190224743,3,2.2384076337e-10
9.6,100,80.9651651754,1.35271524142e-10,0.2,2500,920.034834824,26.9883883918,3,2.08842166642e-10
9.7,100,78.2663263363,1.22292709136e-10,0.2,2500,922.733673664,26.0887754454,3,1.95315014228e-10
9.8,100,75.6574487917,1.10814401995e-10,0.2,2500,925.342551208,25.2191495972,3,1.83085743315e-10
9.9,100,73.135533832,1.00637012238e-10,0.2,2500,927.864466168,24.3785112773,3,1.72004303115e-10
10,100,70.6976827043,9.15906023157e-11,0.2,2500,930.302317296,23.5658942348,3,1.61940601891e-10
10.1,100,68.3410932808,8.35300607213e-11,0.2,2500,932.658906719,22.7803644269,3,1.5278154166e-10
10.2,100,66.0630568381,7.63311244446e-11,0.2,2500,934.936943162,22.021018946,3,1.44428535588e-10
10.3,100,63.8609549436,6.98870908306e-11,0.2,2500,937.139045056,21.2869849812,3,1.36795423143e-10
10.4,100,61.7322564454,6.41060908856e-11,0.2,2500,939.267743554,20.5774188151,3,1.2980671406e-10
10.5,100,59.6745145639,5.89088213061e-11,0.2,2500,941.325485436,19.8915048546,3,1.23396104972e-10
10.6,100,57.6853640785,5.42266524856e-11,0.2,2500,943.314635921,19.2284546928,3,1.17505222841e-10
10.7,100,55.7625186092,5.00000456281e-11,0.2,2500,945.237481391,18.5875062031,3,1.12082557592e-10
10.8,100,53.9037679889,4.61772247533e-11,0.2,2500,947.096232011,17.967922663,3,1.0708255303e-10
10.9,100,52.1069757226,4.27130595049e-11,0.2,2500,948.893024277,17.3689919075,3,1.02464830554e-10
